Syntax version=4
Sun Feb 01 15:04:32 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		MotorL.curOmega_Rad	MotorR.curOmega_Rad
D:	time(ms)	(0x20000114,6)	(0x20000094,6)
D:	1286.26	12.257065	11.341608
D:	1288.08	12.257065	11.341608
D:	1289.88	12.257065	11.341608
D:	1291.56	12.257065	11.341608
D:	1293.33	12.257065	11.341608
D:	1295.03	12.257065	11.341608
D:	1296.59	12.216442	11.300972
D:	1298.15	12.216442	11.300972
D:	1299.76	12.216442	11.300972
D:	1301.33	12.216442	11.300972
D:	1302.90	12.216442	11.300972
D:	1304.47	12.216442	11.300972
D:	1306.07	12.208317	11.300972
D:	1307.65	12.208317	11.292845
D:	1309.23	12.208317	11.292845
D:	1310.80	12.208317	11.292845
D:	1312.36	12.208317	11.292845
D:	1313.95	12.208317	11.292845
D:	1315.63	12.206692	11.292845
D:	1317.26	12.206692	11.535346
D:	1318.93	12.206692	11.535346
D:	1320.50	12.206692	11.535346
D:	1322.07	12.206692	11.535346
D:	1323.64	12.206692	11.535346
D:	1325.36	12.450493	11.535346
D:	1326.96	12.450493	11.339720
D:	1328.52	12.450493	11.339720
D:	1330.06	12.450493	11.339720
D:	1331.64	12.450493	11.339720
D:	1333.28	12.450493	11.339720
D:	1334.87	12.450493	11.339720
D:	1336.48	12.499252	11.544722
D:	1338.05	12.499252	11.544722
D:	1339.62	12.499252	11.544722
D:	1341.20	12.499252	11.544722
D:	1342.76	12.499252	11.544722
D:	1344.33	12.499252	11.544722
D:	1345.96	12.264879	11.544722
D:	1347.55	12.264879	11.341595
D:	1349.17	12.264879	11.341595
D:	1350.81	12.264879	11.341595
D:	1352.38	12.264879	11.341595
D:	1353.98	12.264879	11.341595
D:	1355.75	12.218004	11.341595
D:	1357.36	12.218004	11.545096
D:	1358.99	12.218004	11.545096
D:	1360.55	12.218004	11.545096
D:	1362.10	12.218004	11.545096
D:	1363.83	12.218004	11.545096
D:	1365.70	12.208630	11.545096
D:	1367.50	12.208630	11.341670
D:	1369.27	12.208630	11.341670
D:	1371.03	12.208630	11.341670
D:	1372.77	12.208630	11.341670
